"date","value","id"
"2020-01-02",2468,"anz_kktrans_ch_praes_contactless_CH"
"2020-01-09",2665,"anz_kktrans_ch_praes_contactless_CH"
"2020-01-16",2749,"anz_kktrans_ch_praes_contactless_CH"
"2020-01-23",2685,"anz_kktrans_ch_praes_contactless_CH"
"2020-01-30",2716,"anz_kktrans_ch_praes_contactless_CH"
"2020-02-06",2751,"anz_kktrans_ch_praes_contactless_CH"
"2020-02-13",2892,"anz_kktrans_ch_praes_contactless_CH"
"2020-02-20",2905,"anz_kktrans_ch_praes_contactless_CH"
"2020-02-27",2805,"anz_kktrans_ch_praes_contactless_CH"
"2020-03-05",2778,"anz_kktrans_ch_praes_contactless_CH"
"2020-03-12",2845,"anz_kktrans_ch_praes_contactless_CH"
"2020-03-19",1727,"anz_kktrans_ch_praes_contactless_CH"
"2020-03-26",1525,"anz_kktrans_ch_praes_contactless_CH"
"2020-04-02",1696,"anz_kktrans_ch_praes_contactless_CH"
"2020-04-09",1623,"anz_kktrans_ch_praes_contactless_CH"
"2020-04-16",1903,"anz_kktrans_ch_praes_contactless_CH"
"2020-04-23",2096,"anz_kktrans_ch_praes_contactless_CH"
"2020-04-30",2224,"anz_kktrans_ch_praes_contactless_CH"
"2020-05-07",2693,"anz_kktrans_ch_praes_contactless_CH"
"2020-05-14",3205,"anz_kktrans_ch_praes_contactless_CH"
"2020-05-21",3218,"anz_kktrans_ch_praes_contactless_CH"
"2020-05-28",3254,"anz_kktrans_ch_praes_contactless_CH"
"2020-06-04",3346,"anz_kktrans_ch_praes_contactless_CH"
"2020-06-11",3465,"anz_kktrans_ch_praes_contactless_CH"
"2020-06-18",3552,"anz_kktrans_ch_praes_contactless_CH"
"2020-06-25",3570,"anz_kktrans_ch_praes_contactless_CH"
"2020-07-02",3633,"anz_kktrans_ch_praes_contactless_CH"
"2020-07-09",3667,"anz_kktrans_ch_praes_contactless_CH"
"2020-07-16",3638,"anz_kktrans_ch_praes_contactless_CH"
"2020-07-23",3539,"anz_kktrans_ch_praes_contactless_CH"
"2020-07-30",3334,"anz_kktrans_ch_praes_contactless_CH"
"2020-08-06",3665,"anz_kktrans_ch_praes_contactless_CH"
"2020-08-13",3703,"anz_kktrans_ch_praes_contactless_CH"
"2020-08-20",3841,"anz_kktrans_ch_praes_contactless_CH"
"2020-08-27",3594,"anz_kktrans_ch_praes_contactless_CH"
"2020-09-03",3691,"anz_kktrans_ch_praes_contactless_CH"
"2020-09-10",3822,"anz_kktrans_ch_praes_contactless_CH"
"2020-09-17",3874,"anz_kktrans_ch_praes_contactless_CH"
"2020-09-24",3750,"anz_kktrans_ch_praes_contactless_CH"
"2020-10-01",3883,"anz_kktrans_ch_praes_contactless_CH"
"2020-10-08",3804,"anz_kktrans_ch_praes_contactless_CH"
"2020-10-15",3837,"anz_kktrans_ch_praes_contactless_CH"
"2020-10-22",3655,"anz_kktrans_ch_praes_contactless_CH"
"2020-10-29",3587,"anz_kktrans_ch_praes_contactless_CH"
"2020-11-05",3480,"anz_kktrans_ch_praes_contactless_CH"
"2020-11-12",3667,"anz_kktrans_ch_praes_contactless_CH"
"2020-11-19",3817,"anz_kktrans_ch_praes_contactless_CH"
"2020-11-26",3915,"anz_kktrans_ch_praes_contactless_CH"
"2020-12-03",3782,"anz_kktrans_ch_praes_contactless_CH"
"2020-12-10",3775,"anz_kktrans_ch_praes_contactless_CH"
