"date","value","id"
"2020-01-02",1860,"anz_kktrans_ch_distanz_CH"
"2020-01-09",1830,"anz_kktrans_ch_distanz_CH"
"2020-01-16",1872,"anz_kktrans_ch_distanz_CH"
"2020-01-23",1852,"anz_kktrans_ch_distanz_CH"
"2020-01-30",1882,"anz_kktrans_ch_distanz_CH"
"2020-02-06",1812,"anz_kktrans_ch_distanz_CH"
"2020-02-13",1724,"anz_kktrans_ch_distanz_CH"
"2020-02-20",1649,"anz_kktrans_ch_distanz_CH"
"2020-02-27",1590,"anz_kktrans_ch_distanz_CH"
"2020-03-05",1575,"anz_kktrans_ch_distanz_CH"
"2020-03-12",1364,"anz_kktrans_ch_distanz_CH"
"2020-03-19",1158,"anz_kktrans_ch_distanz_CH"
"2020-03-26",1338,"anz_kktrans_ch_distanz_CH"
"2020-04-02",1441,"anz_kktrans_ch_distanz_CH"
"2020-04-09",1259,"anz_kktrans_ch_distanz_CH"
"2020-04-16",1488,"anz_kktrans_ch_distanz_CH"
"2020-04-23",1422,"anz_kktrans_ch_distanz_CH"
"2020-04-30",1457,"anz_kktrans_ch_distanz_CH"
"2020-05-07",1432,"anz_kktrans_ch_distanz_CH"
"2020-05-14",1441,"anz_kktrans_ch_distanz_CH"
"2020-05-21",1444,"anz_kktrans_ch_distanz_CH"
"2020-05-28",1536,"anz_kktrans_ch_distanz_CH"
"2020-06-04",1619,"anz_kktrans_ch_distanz_CH"
"2020-06-11",1651,"anz_kktrans_ch_distanz_CH"
"2020-06-18",1637,"anz_kktrans_ch_distanz_CH"
"2020-06-25",1731,"anz_kktrans_ch_distanz_CH"
"2020-07-02",1793,"anz_kktrans_ch_distanz_CH"
"2020-07-09",1712,"anz_kktrans_ch_distanz_CH"
"2020-07-16",1690,"anz_kktrans_ch_distanz_CH"
"2020-07-23",1667,"anz_kktrans_ch_distanz_CH"
"2020-07-30",1656,"anz_kktrans_ch_distanz_CH"
"2020-08-06",1765,"anz_kktrans_ch_distanz_CH"
"2020-08-13",1754,"anz_kktrans_ch_distanz_CH"
"2020-08-20",1792,"anz_kktrans_ch_distanz_CH"
"2020-08-27",1864,"anz_kktrans_ch_distanz_CH"
"2020-09-03",1879,"anz_kktrans_ch_distanz_CH"
"2020-09-10",1849,"anz_kktrans_ch_distanz_CH"
"2020-09-17",1862,"anz_kktrans_ch_distanz_CH"
"2020-09-24",1916,"anz_kktrans_ch_distanz_CH"
"2020-10-01",1963,"anz_kktrans_ch_distanz_CH"
"2020-10-08",1870,"anz_kktrans_ch_distanz_CH"
"2020-10-15",1792,"anz_kktrans_ch_distanz_CH"
"2020-10-22",1750,"anz_kktrans_ch_distanz_CH"
"2020-10-29",1761,"anz_kktrans_ch_distanz_CH"
"2020-11-05",1706,"anz_kktrans_ch_distanz_CH"
"2020-11-12",1779,"anz_kktrans_ch_distanz_CH"
"2020-11-19",1820,"anz_kktrans_ch_distanz_CH"
"2020-11-26",2298,"anz_kktrans_ch_distanz_CH"
